data	tempo	IA	IB	IC	ID	IE	IIA	IIB	IIC	IID	IIE	IIIA	IIIB	IIIC	IIID	IIIE	IVA	IVB	IVC	IVD	IVE	VA	VB	VC	VD	VE
10192017	130717	23.9	24	24	23.5	24	27	27	27.1	26.8	27	23.8	24.6	24.2	24	24.9	27	27.5	27.3	27.4	27.7	23.3	24.2	23.7	23.1	23.9
10192017	133759	24.2	24.3	24.2	23.9	24.3	26.8	27.1	26.9	26.7	26.9	24.1	24.9	24.5	24.2	25.3	26.7	27	27	27.2	27.5	23.7	24.5	24	23.5	24.1
10192017	140837	24.4	24.6	24.5	24.2	24.7	26.8	27.3	27	26.8	27.3	24.3	25.1	24.7	24.5	25.6	26.9	26.9	27.1	27.2	27.5	24	24.7	24.2	23.7	24.4
10192017	143916	24.6	24.8	24.7	24.4	24.9	27.4	27.7	27.6	27.2	28.1	24.5	25.3	25	24.7	25.9	27.4	27.3	27.6	27.5	27.8	24.2	25	24.4	24	24.7
10192017	150954	24.9	25	24.9	24.5	25.1	28.2	28.2	28.3	27.8	28.8	24.6	25.5	25.1	24.8	26	28	27.9	28.2	28	28.3	24.4	25.1	24.6	24.2	24.9
10192017	154033	24.9	25.1	25	24.6	25.2	28.7	28.4	28.9	28.3	29.2	24.8	25.6	25.2	24.9	26.1	28.5	28.4	28.6	28.3	28.6	24.5	25.2	24.7	24.3	25
10192017	161112	25.1	25.2	25.2	24.8	25.2	29.1	28.9	29.3	28.8	29.5	24.9	25.6	25.3	25.1	26.2	28.9	28.6	29.1	28.7	28.8	24.5	25.3	24.8	24.4	25.1
10192017	164150	25.1	25.3	25.2	24.9	25.4	29.6	29.2	29.7	29.3	29.8	25	25.7	25.4	25.1	26.3	29.3	28.9	29.5	29.1	29	24.6	25.3	25	24.6	25.2
10192017	171229	25.2	25.4	25.3	25	25.4	29.8	29.5	30	29.6	29.8	25.1	25.7	25.5	25.2	26.4	29.6	29.1	29.8	29.5	29.2	24.7	25.4	25.1	24.7	25.2
10192017	174307	25.2	25.4	25.3	25.1	25.3	29.8	29.6	29.7	29.7	29.7	25.1	25.7	25.6	25.2	26.4	29.6	29.3	30	29.6	29.3	24.7	25.4	25.1	24.8	25.2
